x,y,z,r,p,y
-0.1870802255065523,0.5125750849902712,0.6481301853351794,-0.0,0.0,179.9087476710785
-0.1731488205654005,0.4923540333065015,0.6308957713570957,25.937580904505136,19.044382218156436,180.0
-0.14951274913721646,0.5094784037704928,0.6239609271877028,25.937580904505136,19.044382218156436,180.0
-0.1397524957025444,0.48807725170071187,0.6053402896321012,25.937580904505136,19.044382218156436,180.0
-0.13548344270522752,0.4916875341745252,0.5758658762034106,25.937580904505136,19.044382218156436,180.0
-0.12590344049880417,0.479425735918755,0.5502168633323523,25.937580904505136,19.044382218156436,180.0
-0.11366795660412693,0.47361366023289586,0.5234491082885512,0.0,90.0,-1.4033418597069752e-14
-0.0964816444315349,0.4603420420000848,0.5027489917819049,0.0,90.0,-5.44342715644038
-0.08717725477491471,0.4648180319336128,0.47458174400664765,0.0,90.0,154.38970992872368
-0.06566696829092813,0.4552237129629388,0.4560006617220823,0.0,90.0,167.35946249254079
-0.05259166144701566,0.4422546691288926,0.4323185956600149,0.0,90.0,167.35946249254079
-0.027264827647056754,0.4264034864951859,0.42961831812203216,0.0,90.0,174.28018412290538
-0.002293183229219717,0.4157323030167256,0.4168690899791937,0.0,90.0,135.00269131845312
0.009524219366602514,0.39870486684055517,0.39518002791660795,0.0,90.0,159.93797333375588
0.010959494234105485,0.37573090217419364,0.37594108476571,0.0,90.0,176.48493264469712
0.037223405458588446,0.362587185434957,0.3820606989260299,0.0,90.0,-166.31083241627093
0.0654921934925883,0.3692993574990542,0.37458926203137966,0.0,90.0,146.29966448171191
0.08424366071419505,0.37613918363122434,0.35219285036525133,0.0,90.0,-160.81867996843013
0.09481457437358988,0.37020424963191384,0.32475141558444137,0.0,90.0,162.03170775996486
0.10089277850978653,0.34732030293640653,0.3063291351035698,0.0,90.0,175.1397848621301
0.1111914163293249,0.3414949761034151,0.2787609718286832,0.0,90.0,172.45580988577382
0.13976174435426875,0.3326779205696616,0.2763123215347838,0.0,90.0,172.45580988577382
0.13590700763034963,0.3088965379750108,0.25843532943107383,0.0,90.0,-166.53923087918432
0.1653015304318975,0.314271072812417,0.2557751782040212,0.0,90.0,-163.69276046239477
0.18762705597756185,0.2959744562101192,0.24760176214839255,0.0,90.0,-154.8975548881661
0.2078514872630926,0.30497689946076634,0.22735507366124177,0.0,90.0,173.0827856937475
0.22134818911504495,0.28840812029680624,0.2063000363510058,0.0,90.0,-149.6739042008155
0.24786425234241108,0.2744659969835301,0.2078860970181064,0.0,90.0,-149.6739042008155
0.2602141912521411,0.250499230953373,0.19473037069906018,0.0,90.0,-178.10969074059247
0.2599071664532315,0.23435098805399013,0.16944915263039537,0.0,90.0,-173.06329152038737
0.25991460926070925,0.2201224561509385,0.1430380030058815,0.0,90.0,160.49705509812298
0.2870142464754282,0.2147729577101838,0.1313336222335817,0.0,90.0,-174.86120719516325
